Provisional Results 2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
BSc Computer Science (Year 3),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Results are overall module results; these are provisional until verified by the UCL Board of Examiners. ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3080,COMP3091,,,,COMP312P,COMP313P,,,Award Mark,74.9,,,,
PBTD1,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,81,85,79,76,73,,,,71,74,,,Classification,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,11.5,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3012,COMP3013,COMP3091,,,,MSIN3G07,MSIN7017,,,Award Mark,60.46,,,,
PBQM5,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,58,62,63,56,64,,,,74,69,,,Classification,2A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,1.0,0.5,0.5,,,,0.5,0.5,,AWARD MADE,Credit Passed,11.5,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3091,COMP3095,COMPM026,,,,MSIN3004,MSIN3G23,,,Award Mark,65.1,,,,
NGQM2,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,30,65,62,71,60,,,,62,76,,,Classification,2A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,RS,Credit Passed,N/A,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3058,COMP3091,,,,COMP312P,COMP313P,,Resit in following year,Award Mark,N/A,,,,
PJPD7,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,0,36,63,54,0,,,,51,63,,,Classification,N/A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3012,COMP3080,COMP3091,,,,MSIN3G07,MSIN7017,,,Award Mark,60.97,,,,
QDZD2,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,44,60,71,52,65,,,,68,69,,,Classification,2A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3058,COMP3091,,,,ELEC310P,ELEC311P,,,Award Mark,67.4,,,,
QFVV6,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,72,70,52,64,65,,,,54,73,,,Classification,2A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,11.5,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3013,COMP3072,COMP3091,,,,MSIN3004,MSIN3G23,,,Award Mark,59.65,,,,
NSBM5,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,54,56,60,30,66,,,,51,64,,,Classification,2A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,11.5,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3012,COMP3072,COMP3091,,,,MSIN3G07,MSIN7017,,,Award Mark,58.47,,,,
NNWF6,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,36,56,69,41,60,,,,70,57,,,Classification,2B,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,1.0,,AWARD MADE,Credit Passed,12,,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3013,COMP3091,,,,LCFR6023,,,Award Mark,60.54,,,,,
NNQM5,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,46,68,46,75,65,,,,57,,,Classification,2A,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,0.5,,,,1.0,0.5,,AWARD MADE,Credit Passed,11.5,,,,
,,,,,,,,Module Code,CEGE301M,CEGE305M,COMP3004,COMP3005,COMP3058,,,,COMP3091,COMP3095,,,Award Mark,64.74,,,,
RRBD1,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,61,59,37,60,55,,,,75,65,,,Classification,2A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3013,COMP3035,COMP3091,,,,COMP312P,COMP313P,,,Award Mark,73.12,,,,
NYQV5,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,70,71,67,70,66,,,,75,84,,,Classification,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
